engagement_id,customer_id,campaign_id,product_id,engagement_timestamp,campaign_type,channel,event_type,engagement_score,time_spent_seconds,conversion_flag,unsubscribe_flag
ENG0000001,CUST000321,CMP0036,PROD0163,5/4/2024 22:19,Product Launch,Push Notification,Sent,12,0,0,0
ENG0000002,CUST000619,CMP0008,PROD0032,25/7/2025 7:28,Product Launch,Paid Social,Impression,18,0,0,0
ENG0000003,CUST000456,CMP0014,PROD0076,30/1/2025 13:02,Abandoned Cart,Display Ad,Impression,12,0,0,0
ENG0000004,CUST001639,CMP0049,PROD0112,6/11/2025 18:54,Product Launch,Display Ad,Impression,9,0,0,0
ENG0000005,CUST001469,CMP0003,PROD0046,21/4/2024 20:10,Promotion,Email,Sent,16,0,0,0
ENG0000006,CUST001450,CMP0041,PROD0153,2/6/2025 4:58,Seasonal,Paid Social,Clicked,54,37,0,0
ENG0000007,CUST001290,CMP0047,PROD0023,27/5/2024 10:18,Winback,Email,Opened,22,71,0,0
ENG0000008,CUST001511,CMP0043,PROD0051,31/12/2025 6:44,Seasonal,SMS,Clicked,68,117,0,0
ENG0000009,CUST001157,CMP0032,PROD0003,3/6/2024 2:37,Promotion,Push Notification,Opened,32,52,0,0
ENG0000010,CUST000626,CMP0043,PROD0055,23/10/2024 8:35,Seasonal,SMS,Sent,4,0,0,0
ENG0000011,CUST001435,CMP0012,PROD0139,5/1/2025 0:01,Promotion,Paid Social,Impression,14,0,0,0
ENG0000012,CUST000120,CMP0029,PROD0110,23/8/2024 15:52,Product Launch,Email,Converted,100,91,1,0
ENG0000013,CUST001648,CMP0010,PROD0130,22/1/2025 9:11,Seasonal,Display Ad,Clicked,63,51,0,0
ENG0000014,CUST001041,CMP0037,PROD0186,21/5/2024 0:51,Product Launch,Email,Clicked,63,92,0,0
ENG0000015,CUST001150,CMP0024,PROD0149,19/12/2025 15:18,Promotion,SMS,Clicked,49,77,0,0
ENG0000016,CUST001300,CMP0022,PROD0098,31/3/2026 21:58,Seasonal,Display Ad,Impression,16,0,0,0
ENG0000017,CUST001406,CMP0043,PROD0054,12/7/2024 4:16,Seasonal,SMS,Clicked,57,236,0,0
ENG0000018,CUST001346,CMP0007,PROD0034,2/3/2024 7:59,Promotion,Email,Opened,40,135,0,0
ENG0000019,CUST000548,CMP0018,PROD0176,19/10/2024 5:13,Promotion,Email,Sent,6,0,0,0
ENG0000020,CUST001451,CMP0030,PROD0057,27/7/2024 7:48,Product Launch,Push Notification,Sent,14,0,0,0
ENG0000021,CUST000683,CMP0045,PROD0059,15/10/2024 16:25,Welcome,Push Notification,Sent,11,0,0,0
ENG0000022,CUST001616,CMP0041,PROD0149,19/6/2024 22:21,Seasonal,Paid Social,Clicked,73,70,0,0
ENG0000023,CUST000722,CMP0005,PROD0090,25/10/2025 13:46,Abandoned Cart,Display Ad,Impression,4,0,0,0
ENG0000024,CUST000876,CMP0012,PROD0130,24/9/2025 7:11,Promotion,Paid Social,Converted,100,2,1,0
ENG0000025,CUST001359,CMP0001,PROD0089,1/4/2026 15:52,Promotion,Email,Sent,3,0,0,0
ENG0000026,CUST000700,CMP0042,PROD0029,15/6/2025 3:58,Seasonal,SMS,Sent,0,0,0,0
ENG0000027,CUST000467,CMP0011,PROD0134,11/7/2024 15:01,Abandoned Cart,Paid Social,Clicked,66,59,0,0
ENG0000028,CUST001264,CMP0009,PROD0111,1/9/2024 14:07,Seasonal,Email,Clicked,71,210,0,0
ENG0000029,CUST000989,CMP0015,PROD0113,17/3/2024 23:36,Loyalty,SMS,Sent,7,0,0,0
ENG0000030,CUST001825,CMP0049,PROD0113,27/9/2025 15:38,Product Launch,Display Ad,Impression,6,0,0,0
ENG0000031,CUST000453,CMP0049,PROD0114,25/7/2024 20:13,Product Launch,Display Ad,Clicked,68,44,0,0
ENG0000032,CUST001516,CMP0016,PROD0041,1/5/2025 13:06,Loyalty,Push Notification,Sent,4,0,0,0
ENG0000033,CUST000996,CMP0045,PROD0050,26/1/2024 17:46,Welcome,Push Notification,Opened,30,124,0,0
ENG0000034,CUST001139,CMP0003,PROD0056,2/8/2024 11:57,Promotion,Email,Clicked,60,130,0,0
ENG0000035,CUST001039,CMP0043,PROD0044,19/1/2026 12:04,Seasonal,SMS,Clicked,56,106,0,0
ENG0000036,CUST000541,CMP0024,PROD0152,14/6/2026 18:24,Promotion,SMS,Sent,2,0,0,0
ENG0000037,CUST001428,CMP0040,PROD0148,10/9/2025 14:45,Promotion,Push Notification,Opened,31,62,0,0
ENG0000038,CUST000937,CMP0017,PROD0173,23/7/2025 12:51,Loyalty,Display Ad,Clicked,67,190,0,0
ENG0000039,CUST000357,CMP0008,PROD0024,16/5/2025 4:46,Product Launch,Paid Social,Impression,0,0,0,0
ENG0000040,CUST001038,CMP0048,PROD0090,2/9/2025 0:19,Product Launch,Push Notification,Sent,0,0,0,0
