product_id,product_name,category,brand,unit_price,cost_price,launch_date,active_flag
PROD0001,Everyday Wireless Earbuds,Electronics,Harbour Lane,220.09,136.29,2023-06-29,1
PROD0002,Travel Bluetooth Speaker,Electronics,Banksia,238.48,107.57,2021-10-14,1
PROD0003,Family Tablet Stand,Electronics,Harbour Lane,171.83,121.83,2026-01-07,1
PROD0004,Classic USB-C Hub,Electronics,Northshore,175.52,95.74,2023-01-26,1
PROD0005,Eco Smart Watch,Electronics,Koala & Co,226.46,143.29,2021-02-23,1
PROD0006,Classic Phone Case,Electronics,Harbour Lane,148.27,65.77,2021-07-22,1
PROD0007,Plus Laptop Sleeve,Electronics,Urban Basics,201.4,129.4,2024-08-23,1
PROD0008,Lite Portable Charger,Electronics,Koala & Co,223.43,160.57,2026-01-09,1
PROD0009,Compact Desk Lamp,Electronics,Northshore,84.7,39.26,2024-08-23,1
PROD0010,Pro Streaming Webcam,Electronics,Urban Basics,58.3,33.87,2020-03-30,1
PROD0011,Lite Wireless Earbuds,Electronics,Everyday Select,136.9,65.33,2023-10-07,1
PROD0012,Classic Bluetooth Speaker,Electronics,MetroCart,69.67,43.11,2025-10-11,1
PROD0013,Travel Tablet Stand,Electronics,Blue Gum,48.84,25.71,2022-09-05,1
PROD0014,Premium USB-C Hub,Electronics,Harbour Lane,29.05,13.13,2025-09-23,1
PROD0015,Compact Smart Watch,Electronics,MetroCart,51.02,32.47,2023-10-10,1
PROD0016,Compact Phone Case,Electronics,BrightBay,169.13,79.35,2025-05-11,1
PROD0017,Family Laptop Sleeve,Electronics,Northshore,55.7,32.66,2022-06-07,1
PROD0018,Everyday Portable Charger,Electronics,Wattle Home,125.64,73.91,2025-04-29,1
PROD0019,Eco Desk Lamp,Electronics,Wattle Home,180.0,113.51,2022-04-10,1
PROD0020,Plus Streaming Webcam,Electronics,Banksia,170.61,116.51,2023-12-17,1
PROD0021,Eco Cotton T-Shirt,Clothing,AussieNest,147.49,93.7,2020-12-17,1
PROD0022,Lite Linen Shirt,Clothing,Everyday Select,64.88,37.22,2020-09-14,1
PROD0023,Travel Denim Jacket,Clothing,Southern Cross,19.47,9.06,2021-08-09,1
PROD0024,Compact Running Shorts,Clothing,Northshore,140.77,83.16,2024-08-14,1
PROD0025,Travel Puffer Vest,Clothing,Northshore,81.62,52.22,2022-09-15,1
PROD0026,Lite Casual Hoodie,Clothing,Everyday Select,93.82,64.9,2023-06-27,1
PROD0027,Pro Chino Pants,Clothing,Wattle Home,70.67,36.19,2025-12-13,1
PROD0028,Compact Wool Scarf,Clothing,Northshore,88.35,39.52,2022-05-20,1
PROD0029,Classic Canvas Cap,Clothing,Bushland,27.85,16.38,2025-01-15,1
PROD0030,Family Active Leggings,Clothing,Banksia,45.42,31.22,2021-11-07,1
PROD0031,Family Cotton T-Shirt,Clothing,Bushland,153.3,76.71,2020-11-26,1
PROD0032,Family Linen Shirt,Clothing,Wattle Home,110.0,76.63,2020-04-23,1
PROD0033,Everyday Denim Jacket,Clothing,Koala & Co,110.43,78.76,2021-09-16,1
PROD0034,Family Running Shorts,Clothing,Urban Basics,23.43,13.12,2022-09-15,1
PROD0035,Classic Puffer Vest,Clothing,BrightBay,151.55,87.44,2025-03-19,1
PROD0036,Lite Casual Hoodie,Clothing,AussieNest,114.52,67.67,2021-07-11,1
PROD0037,Pro Chino Pants,Clothing,Blue Gum,60.77,40.57,2024-01-05,1
PROD0038,Premium Wool Scarf,Clothing,MetroCart,37.13,20.55,2025-03-14,1
PROD0039,Everyday Canvas Cap,Clothing,Sundown,145.27,93.83,2021-09-14,1
PROD0040,Classic Active Leggings,Clothing,Urban Basics,29.27,13.16,2020-07-06,1
PROD0041,Travel Ceramic Mug,Home & Living,Sundown,88.03,62.79,2023-09-27,1
PROD0042,Travel Scented Candle,Home & Living,Southern Cross,36.68,16.31,2024-02-25,1
PROD0043,Pro Throw Blanket,Home & Living,Bushland,44.44,20.91,2021-02-17,1
PROD0044,Lite Storage Basket,Home & Living,AussieNest,93.15,46.05,2024-04-09,1
PROD0045,Classic Bath Towel Set,Home & Living,Everyday Select,150.68,74.85,2020-07-05,1
PROD0046,Everyday Indoor Planter,Home & Living,Harbour Lane,146.04,98.89,2025-10-13,1
PROD0047,Travel Wall Clock,Home & Living,Bushland,103.64,47.57,2023-10-11,1
PROD0048,Premium Bamboo Cutlery Set,Home & Living,Blue Gum,74.68,38.48,2023-01-23,1
PROD0049,Premium Memory Foam Pillow,Home & Living,Blue Gum,161.64,81.6,2025-10-11,1
PROD0050,Family Laundry Hamper,Home & Living,Banksia,70.29,34.0,2023-02-15,1
PROD0051,Eco Ceramic Mug,Home & Living,Koala & Co,67.16,41.01,2024-04-16,0
PROD0052,Everyday Scented Candle,Home & Living,MetroCart,47.25,23.69,2024-12-30,0
PROD0053,Eco Throw Blanket,Home & Living,Harbour Lane,113.39,58.63,2025-02-07,1
PROD0054,Travel Storage Basket,Home & Living,Terra,153.96,97.49,2020-10-20,1
PROD0055,Pro Bath Towel Set,Home & Living,Banksia,61.3,35.72,2025-12-14,1
PROD0056,Compact Indoor Planter,Home & Living,Urban Basics,20.59,10.63,2021-10-18,1
PROD0057,Lite Wall Clock,Home & Living,Blue Gum,102.46,62.19,2026-03-13,1
PROD0058,Premium Bamboo Cutlery Set,Home & Living,Everyday Select,85.79,40.17,2021-10-05,0
PROD0059,Everyday Memory Foam Pillow,Home & Living,Northshore,73.81,50.76,2023-09-16,0
PROD0060,Premium Laundry Hamper,Home & Living,Wattle Home,85.96,47.97,2022-10-25,1
PROD0061,Premium Face Cleanser,Beauty & Personal Care,Wattle Home,127.81,65.84,2020-07-17,1
PROD0062,Plus Moisturiser,Beauty & Personal Care,Everyday Select,119.38,76.97,2020-12-14,1
PROD0063,Premium Hair Dryer,Beauty & Personal Care,Bushland,112.26,71.33,2023-03-02,1
PROD0064,Classic Sunscreen SPF50,Beauty & Personal Care,Wattle Home,42.41,28.31,2022-07-23,1
PROD0065,Classic Lip Balm,Beauty & Personal Care,BrightBay,37.96,20.4,2023-01-20,1
PROD0066,Travel Body Wash,Beauty & Personal Care,Urban Basics,111.47,66.28,2021-02-15,1
PROD0067,Lite Shampoo Bar,Beauty & Personal Care,BrightBay,90.67,47.88,2024-05-20,1
PROD0068,Lite Makeup Brush Set,Beauty & Personal Care,Harbour Lane,31.88,17.15,2025-02-15,1
PROD0069,Classic Hand Cream,Beauty & Personal Care,Wattle Home,22.96,11.83,2023-05-13,1
PROD0070,Lite Facial Mist,Beauty & Personal Care,Northshore,31.09,14.84,2025-10-13,1
PROD0071,Compact Face Cleanser,Beauty & Personal Care,MetroCart,30.25,14.08,2020-09-29,1
PROD0072,Lite Moisturiser,Beauty & Personal Care,Blue Gum,130.88,91.39,2021-04-06,1
PROD0073,Everyday Hair Dryer,Beauty & Personal Care,Southern Cross,31.0,18.6,2021-06-28,1
PROD0074,Classic Sunscreen SPF50,Beauty & Personal Care,Everyday Select,62.43,36.6,2020-09-03,1
PROD0075,Compact Lip Balm,Beauty & Personal Care,Urban Basics,43.92,20.24,2025-09-09,1
PROD0076,Eco Body Wash,Beauty & Personal Care,Southern Cross,25.23,15.62,2025-05-06,1
PROD0077,Pro Shampoo Bar,Beauty & Personal Care,BrightBay,26.59,13.91,2025-09-19,1
PROD0078,Classic Makeup Brush Set,Beauty & Personal Care,Blue Gum,38.31,24.93,2024-04-06,1
PROD0079,Classic Hand Cream,Beauty & Personal Care,Terra,103.08,46.83,2023-10-02,1
PROD0080,Everyday Facial Mist,Beauty & Personal Care,Urban Basics,73.33,46.01,2022-11-18,1
PROD0081,Compact Yoga Mat,Sports & Outdoors,MetroCart,43.07,28.97,2024-03-04,1
PROD0082,Pro Resistance Band Set,Sports & Outdoors,Sundown,165.71,87.95,2021-09-15,1
PROD0083,Pro Hiking Bottle,Sports & Outdoors,BrightBay,76.76,32.55,2022-03-15,1
PROD0084,Classic Cycling Gloves,Sports & Outdoors,Northshore,207.57,114.43,2022-08-18,1
PROD0085,Classic Gym Towel,Sports & Outdoors,Urban Basics,63.16,29.39,2022-10-24,1
PROD0086,Eco Foam Roller,Sports & Outdoors,Northshore,9.22,6.3,2024-01-19,1
PROD0087,Plus Running Belt,Sports & Outdoors,BrightBay,79.41,43.23,2023-04-21,1
PROD0088,Family Picnic Rug,Sports & Outdoors,BrightBay,89.94,54.21,2023-05-19,0
PROD0089,Pro Camping Lantern,Sports & Outdoors,Blue Gum,138.16,93.06,2022-09-18,1
PROD0090,Everyday Swim Goggles,Sports & Outdoors,Harbour Lane,108.57,59.79,2025-11-01,1
PROD0091,Premium Yoga Mat,Sports & Outdoors,BrightBay,185.07,130.87,2021-05-31,1
PROD0092,Plus Resistance Band Set,Sports & Outdoors,Terra,218.58,141.66,2020-12-18,1
PROD0093,Travel Hiking Bottle,Sports & Outdoors,Harbour Lane,109.64,72.82,2020-10-05,1
PROD0094,Compact Cycling Gloves,Sports & Outdoors,Koala & Co,39.21,23.94,2025-11-25,0
PROD0095,Plus Gym Towel,Sports & Outdoors,Everyday Select,204.58,97.53,2022-12-06,1
PROD0096,Classic Foam Roller,Sports & Outdoors,Northshore,38.18,25.95,2025-04-19,1
PROD0097,Travel Running Belt,Sports & Outdoors,Banksia,128.84,62.91,2020-10-28,0
PROD0098,Travel Picnic Rug,Sports & Outdoors,AussieNest,18.0,8.13,2022-05-31,1
